user_id,item_id,score
1,7707,1
1,156,1
1,4374,1
1,9850,1
1,4165,1
1,4373,0
1,1391,1
1,2956,1
1,2954,1
1,4873,1
1,5446,1
1,3856,1
1,5425,1
1,9842,1
1,7642,0
1,2458,1
1,7362,1
1,9640,1
1,5000,1
1,14043,0
1,8780,1
1,1394,1
1,8242,1
1,9638,1
1,10012,1
1,7364,1
1,11909,1
1,9844,1
1,12404,1
1,11912,1
1,8494,1
1,5450,1
1,3878,1
1,7357,1
1,12314,1
1,3857,0
1,7356,1
1,13399,1
1,10004,1
1,11906,1
1,14511,1
1,3863,0
1,7354,1
1,10019,0
1,10016,1
1,9641,1
1,7652,1
1,575,1
1,145,1
1,14336,1
1,8496,0
1,4375,1
1,7359,1
1,7711,1
1,10116,1
1,8482,1
1,5449,1
1,10017,1
1,15763,1
1,149,1
1,8243,0
1,1918,0
1,2381,1
1,11494,1
1,4989,0
1,9849,1
1,1921,1
1,15718,1
1,14202,1
1,11180,1
1,10024,0
1,5441,1
1,6801,1
1,3849,1
1,15764,0
1,6797,0
1,6819,1
1,8788,0
1,7361,1
1,15762,1
1,9106,0
1,3867,1
1,3868,1
1,12922,1
1,16372,1
1,8254,1
1,3514,1
1,16467,1
1,12320,1
1,1387,1
1,7712,0
1,8492,1
1,7358,1
1,6461,1
1,12919,1
1,7439,1
1,8256,1
1,7715,1
1,10026,1
1,14046,1
1,8631,1
1,9121,1
1,6802,1
1,4996,0
1,4376,0
1,5930,1
1,7787,1
1,4126,1
1,9112,1
1,12918,1
1,2715,1
1,16461,0
1,9995,0
1,4372,0
1,14113,1
1,8035,1
1,5448,0
1,14715,1
1,14707,1
1,1389,1
1,12413,1
1,4994,1
1,5437,0
1,14702,1
1,8630,1
1,6810,0
1,16373,1
1,12923,1
1,7640,1
1,13559,1
1,3877,1
1,6817,1
1,9843,1
1,6816,1
1,6786,1
1,14701,0
1,1392,1
1,4626,1
1,10023,1
1,6818,1
1,2457,0
1,3223,1
1,10027,1
1,12313,1
1,6794,1
1,16472,1
1,10018,1
1,4991,1
1,7639,1
1,5438,1
1,574,1
1,6807,0
1,16466,0
1,7789,1
1,8498,1
1,12407,1
1,3853,0
1,3870,1
1,10020,0
1,8034,0
1,14322,1
1,6808,1
1,14045,1
1,9103,1
1,11300,1
1,14332,1
1,7440,1
1,2957,1
1,10114,1
1,2461,1
1,16471,0
1,10000,1
1,9115,1
1,151,1
1,14698,1
1,6809,1
1,12414,1
1,5435,1
1,4995,1
1,4407,1
1,10008,1
1,2465,1
1,153,1
1,12408,1
1,2955,1
1,15765,1
1,16462,1
1,10014,1
1,6796,1
1,8251,1
1,9847,1
1,8776,0
1,15761,1
1,4999,1
1,10002,0
1,1396,1
1,5927,1
